example_id                                         | status  | run_time        |
./spec/unit/mapper/loader_spec.rb[1:2:1:1]         | passed  | 0.0046 seconds  |
./spec/unit/mapper/loader_spec.rb[1:2:1:2:1:1]     | pending | 0.00001 seconds |
./spec/unit/mapper/loader_spec.rb[1:2:1:2:2:1]     | passed  | 0.0029 seconds  |
./spec/unit/mapper/loader_spec.rb[1:2:2:1:1]       | passed  | 0.00235 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:1:1:1] | passed  | 0.00366 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:1:2:1] | passed  | 0.00226 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:1:3:1] | passed  | 0.00169 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:1:4:1] | passed  | 0.00305 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:2:1]   | passed  | 0.00152 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:2:2:1] | passed  | 0.00152 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:3:1]   | passed  | 0.00308 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:3:2:1] | passed  | 0.00161 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:4:1]   | passed  | 0.0017 seconds  |
./spec/unit/mapper/pagination_dsl_spec.rb[1:4:2:1] | passed  | 0.00258 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:5:1]   | passed  | 0.00171 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:5:2:1] | passed  | 0.00168 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:6:1]   | passed  | 0.00157 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:6:2:1] | passed  | 0.00155 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:7:1]   | passed  | 0.00152 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:7:2:1] | passed  | 0.00169 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:8:1]   | passed  | 0.00154 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:8:2:1] | passed  | 0.00159 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:9:1]   | passed  | 0.00162 seconds |
./spec/unit/mapper/pagination_dsl_spec.rb[1:9:2:1] | passed  | 0.00174 seconds |
./spec/unit/mapper/pagination_spec.rb[1:1:1]       | passed  | 0.00749 seconds |
./spec/unit/mapper/pagination_spec.rb[1:2:1]       | passed  | 0.01599 seconds |
./spec/unit/mapper_dsl_spec.rb[1:1:1:1]            | passed  | 0.00276 seconds |
./spec/unit/mapper_dsl_spec.rb[1:1:2:1]            | passed  | 0.00216 seconds |
./spec/unit/mapper_dsl_spec.rb[1:1:3:1]            | passed  | 0.00272 seconds |
./spec/unit/mapper_dsl_spec.rb[1:1:4:1]            | passed  | 0.00172 seconds |
./spec/unit/mapper_dsl_spec.rb[1:2:1]              | passed  | 0.02321 seconds |
./spec/unit/mapper_dsl_spec.rb[1:2:2:1]            | passed  | 0.0019 seconds  |
./spec/unit/mapper_dsl_spec.rb[1:3:1]              | passed  | 0.00164 seconds |
./spec/unit/mapper_dsl_spec.rb[1:3:2:1]            | passed  | 0.00157 seconds |
./spec/unit/mapper_dsl_spec.rb[1:4:1]              | passed  | 0.0019 seconds  |
./spec/unit/mapper_dsl_spec.rb[1:4:2:1]            | passed  | 0.00202 seconds |
./spec/unit/mapper_dsl_spec.rb[1:5:1]              | passed  | 0.00299 seconds |
./spec/unit/mapper_dsl_spec.rb[1:5:2:1]            | passed  | 0.00195 seconds |
./spec/unit/mapper_dsl_spec.rb[1:6:1]              | passed  | 0.00218 seconds |
./spec/unit/mapper_dsl_spec.rb[1:6:2:1]            | passed  | 0.00191 seconds |
./spec/unit/mapper_dsl_spec.rb[1:7:1]              | passed  | 0.0018 seconds  |
./spec/unit/mapper_dsl_spec.rb[1:7:2]              | passed  | 0.00173 seconds |
./spec/unit/mapper_dsl_spec.rb[1:7:3]              | passed  | 0.00195 seconds |
./spec/unit/mapper_dsl_spec.rb[1:7:4]              | passed  | 0.00225 seconds |
./spec/unit/mapper_dsl_spec.rb[1:8:1:1]            | passed  | 0.00166 seconds |
./spec/unit/mapper_dsl_spec.rb[1:8:2:1:1]          | passed  | 0.00175 seconds |
./spec/unit/mapper_dsl_spec.rb[1:8:2:2:1:1]        | passed  | 0.00175 seconds |
./spec/unit/mapper_dsl_spec.rb[1:8:3:1:1]          | passed  | 0.00164 seconds |
./spec/unit/mapper_dsl_spec.rb[1:8:3:2:1:1]        | passed  | 0.00162 seconds |
./spec/unit/mapper_spec.rb[1:1:1]                  | passed  | 0.00649 seconds |
./spec/unit/mapper_spec.rb[1:1:2:1]                | passed  | 0.00626 seconds |
./spec/unit/mapper_spec.rb[1:1:3:1:1]              | passed  | 0.00666 seconds |
./spec/unit/mapper_spec.rb[1:1:3:2:1]              | passed  | 0.01165 seconds |
./spec/unit/mapper_spec.rb[1:2:1]                  | passed  | 0.00641 seconds |
./spec/unit/pagination_spec.rb[1:1:1]              | passed  | 0.00231 seconds |
./spec/unit/pagination_spec.rb[1:2:1:1:1]          | passed  | 0.00242 seconds |
./spec/unit/pagination_spec.rb[1:2:1:2:1]          | passed  | 0.00246 seconds |
./spec/unit/pagination_spec.rb[1:2:1:3:1]          | passed  | 0.00247 seconds |
./spec/unit/pagination_spec.rb[1:2:2:1:1]          | passed  | 0.00347 seconds |
./spec/unit/pagination_spec.rb[1:3:1:1]            | passed  | 0.00253 seconds |
./spec/unit/pagination_spec.rb[1:3:2:1]            | passed  | 0.00283 seconds |
./spec/unit/pagination_spec.rb[1:4:1:1]            | passed  | 0.00225 seconds |
./spec/unit/pagination_spec.rb[1:4:2:1]            | passed  | 0.0022 seconds  |
./spec/unit/relationship_spec.rb[1:1:1]            | passed  | 0.00208 seconds |
./spec/unit/relationship_spec.rb[1:2:1]            | passed  | 0.00213 seconds |
./spec/unit/relationship_spec.rb[1:2:2:1]          | passed  | 0.00172 seconds |
./spec/unit/relationship_spec.rb[1:3:1]            | passed  | 0.00181 seconds |
./spec/unit/resource_spec.rb[1:1:1]                | passed  | 0.0018 seconds  |
./spec/unit/resource_spec.rb[1:2:1:1]              | passed  | 0.00187 seconds |
./spec/unit/resource_spec.rb[1:2:2:1]              | passed  | 0.00184 seconds |
